assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population_x,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population_y,category,main_common_name,location_clean,location_detail_clean,threat_clean,main_threat_clean,needs_manual_review,country_code
4550209,153825,Cambarellus alvarezi,Extinct,,2010,2010-07-01 00:00:00 UTC,3.1,English,"Cambarellus alvarezi has been assessed as Extinct. This species was endemic to a single location, though this no longer exists, having undergone reduction due to water abstraction, and since 1994 has been permanently dry. Furthermore, this species has been surveyed for 10 times, over a period of 4 -5 years within known habitat, but no specimens have been found.  The most recent visit to the site in 2009 confirmed there was no surface water at Ejido El Potosí. ","This species is known from a single pond with an area of approximately 0.01 km2 (Rodriguez and Campos 1994). Miller and Walters (1972) described this pond as having clear water of varying depth and abundant vegetation. Furthermore, this species was most commonly found in the southeastern part of the pond, in association with plants of the Ceratophyllum genus(Rodriguez and Campos 1994). However, this location is now known to be completely dry (M. López-Mejía., F. Alvarez. and C. Pedraza-Lara pers. comm. 2009).","The pond habitat of this species is thought to have been relatively stable between 1960 and 1989 (Rodriguez and Campos 1994). However, since then, intensive pumping of groundwater for agriculture has led to a dramatic reduction in the size of the pond and the amount of aquatic vegetation that it supports (Rodriguez and Campos 1994, Contreras-Balderas and Lozano-Vilano 1996). Furthermore, this location is now known to be completely dry (M. López-Mejía., F. Alvarez. and C. Pedraza-Lara pers. comm. 2009), confirmed in 2006 and 2009 (C. Pedraza-Lara pers. comm. 2010).","This species has been surveyed for on 10 occasions, over a period of 4-5 years within the spring of Ejido El Potosi, Galeana, in the state of Nuevo Leon, Mexico, but no specimens have been found (M. López-Mejía., F. Alvarez. and C. Pedraza-Lara pers. comm. 2009).",Unknown,"This species is endemic to the spring of Ejido El Potosi, Galeana, in the state of Nuevo Leon, Mexico (Rodriguez and Campos 1994).  It is only known from a single pond with a surface area of approximately 0.01 km² (Rodriguez and Campos 1994). In 2006, the type locality Ejido El Potosi was found to have no water in it, which was subsequently confirmed in 2009 (C. Pedraza-Lara pers. comm. 2010): This means there have been as many as 15 continuous years of desiccation at the only location this species is found.",,Freshwater (=Inland waters),There are no species-specific conservation measures in place for this species.,Nearctic,1991,FALSE,FALSE,Global,153825,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,Cambarellus,Cambarellus alvarezi,"Villalobos, 1952",,,,EX,,North America,Mexico,Agriculture; Water Modification,Agriculture,,MX
4821485,155676,Eupaludestrina spinellii,Extinct,,2010,2009-05-21 00:00:00 UTC,3.1,English,"This species is endemic to Italy, where it was originally recorded from a single site in the alpine region. Currently it is considered Extinct as it has not been recorded since 1850 despite survey efforts in the region over the last 30 years. It is listed on the Italian Red List as Extinct (CK Map 5.3.8, Manganelli et al. 2000).",This freshwater mollusc was originally recorded as living in standing marsh water (CK Map 5.3.8).,"The species is considered Extinct as it hasn't been found again since 1850. The causes of its extinction are uncertain, but the habitat has probably been lost.",This species was restricted to a small area and has not been recorded since 1850.,Unknown,This species is endemic to Italy. Specifically it was found within the alpine region of Lombardy between Lake Garda and Lake Idro. It has not been recorded since 1850 and hence is considered to be Extinct.,,Freshwater (=Inland waters), No specific conservation measures are known. This species is assessed as Extinct in the Italian Red List (CK Map 5.3.8).,Palearctic,1850,FALSE,FALSE,"Global, Europe & Mediterranean",155676,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,COCHLIOPIDAE,Eupaludestrina,Eupaludestrina spinellii,"(Gredler, 1860)",,,,EX,,Europe,Europe,Unknown,Unknown,Yes,IT
4831171,155726,Islamia ateni,Extinct,,2011,2010-01-28 00:00:00 UTC,3.1,English,"This species is known from only a single thermal spring in Lerida Spain that is used by people as a public bath. The actual site has been altered by road construction, and frequent surveys in the 1990s failed to find any specimens, so according to the Spanish Red List (e.g., Verdú and Galante 2009) it has been classified as Extinct (EX).  This species has also been assessed at the regional level:European regional assessment: Extinct (EX)EU27 regional assessment: Extinct (EX)Mediterranean regional assessment: Extinct (EX).","This species occurred in springs: hot spring where Boeters (1969) described the species as living ""on a wall ... flowing hot water smells of sulphur"".",This spa has been profoundly altered due to the construction of a road as well as future possible changes to the habitat through site management for tourism and water use.,"In spite of several surveys over the last decade, no specimens have been found. So this species is only known from the original description in 1969. As the species has not been found and the habitat has been altered, Arconada et al. (in Verdu and Galante 2006 p. 323) consider the species to be extinct.",,"This species was only known from Balneario de San Vicente, Lerida (northeastern Spain). The Spa of San Vicente was built near a hot spring, and in the original description for this species (Boeters 1969) the site was described as ""on a wall ... flowing hot water smells of sulphur"". This spa has been profoundly altered due to the construction of a road, so that in recent visits to this locality it has not been possible to find this species (Arconada et al, in Verdu and  Galante, 2006 p. 323).",This species is assessed as Extinct and is therefore not utilized. It was not known to be utilized before it became extinct.,Freshwater (=Inland waters),"This species was listed as Extinct (Verdu and Galante 2009), so the remaining measures can only be regular resurvey of last known locality as well as other sources and springs where they could live. It is also necessary to inform the population about the importance of conservation of these hot springs, which are home to a diversity of freshwater species.",Palearctic,1969,FALSE,FALSE,"Global, Europe & Mediterranean",155726,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Islamia,Islamia ateni,"(Boeters, 1969)",,,,EX,,Europe,Europe,Urbanization,Urbanization,,ES
4881283,155997,Bythinella gibbosa,Extinct,,2010,2009-11-09 00:00:00 UTC,3.1,English,"This species is listed as Extinct by Falkner et al. (2002). It was originally recorded from the villages around Toulouse in the 19th century, and hasn't been recorded in the last 50 years, despite surveys conducted in this region and these habitats have been lost due to encroachment of the town including the airport at Blagnac. It is considered that the species has probably been Extinct for over 50 years, and as such has been listed as Extinct, rather than Critically Endangered (Possibly Extinct), as there are considered to be no small pockets of habitat that survive.",This species lived in freshwater springs.,"The species was recorded from springs in the small villages adjacent to Toulouse in the 1850-1860's, however these locations are now all part of the city of Toulouse, and the sites are believed to have been lost during urbanisation.","This species is believed to be Extinct. It has not been recorded for over 50 years, despite survey efforts; possibly it became Extinct 30-50 years before that.",Unknown,"This species is endemic to France. In Falkner et al. (2002), the range is described as 'environs of Toulouse' in the department of Haute-Garonne. In Falkner et al. (2002) two locations were considered valid from Moquin-Tandon, in the 1850's at Bourassol and Blagnac and a third locality from the Locard Collections at MNHN, Paris from 'St Michel s. Touch, près de Toulouse'.  Much of this region is now part of the city of Toulouse, and Boeters (pers. comm. in Falker et al., 2002) has searched for the species in the Bourassol parts of Toulouse and considered that this species has been lost during this century.",,Freshwater (=Inland waters),The species is believed to now be Extinct.,Palearctic,before 1960,FALSE,FALSE,Global & Europe,155997,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,BYTHINELLIDAE,Bythinella,Bythinella gibbosa,"(Moquin-Tandon, 1856)",,,,EX,,Europe,Europe,Unknown,Unknown,Yes,FR
6178632,166049,Anabarilius macrolepis,Extinct,,2011,2011-01-18 00:00:00 UTC,3.1,English,"Considered to have gone extinct when the Yilong Lake dried up as a result of water abstraction for agriculture in 1981. The species was surveyed for in 1983 and 1984, but was not found, and recent surveys by the Kunming Institute of Technology have also not found the species (W.  Zhou pers. comm. 2011).",Pelagic fish; freshwater lake.,The water level of the lake declined since the 1950s. In 1981 the lake completely dried up (for about 20 days) as a result of water abstraction for agriculture. The lake is also polluted by increased organic pollution caused by sedimentation from the surrounding catchment.,"Considered to have gone extinct in 1981 because the Yilong Lake dried (for 20 days) up as a result of water abstraction for agriculture in the 1970-80s. The species was surveyed for in 1983 and 1984, but was not found, and recent surveys by the Kunming Institute of Technology have also not found the species (W.  Zhou pers comm. 2011).",,Only known from Yilong Lake in Yunnan Province.,Was used as food in the past.,Freshwater (=Inland waters),Survey should be undertaken to confirm absence.,Indomalayan,1970s,FALSE,FALSE,Global,166049,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,XENOCYPRIDIDAE,Anabarilius,Anabarilius macrolepis,"Yih &amp; Wu, 1964",,,,EX,,Unknown,Unknown,Agriculture; Pollution,Agriculture,Yes,CN
6451870,168112,Pachnodus ladiguensis,Extinct,,2009,2006-01-11 00:00:00 UTC,3.1,English,"The species is known only from subfossil material. Extinction probably occurred in the mid-1800s, as a result of habitat degradation caused mainly by large-scale conversion of woodlands to plantations.","This was probably a terrestrial forest species, occupying moist lowland forests.","The cause of extinction is believed to be habitat destruction, as natural woodlands were replaced with large-scale wood plantations in the 1800s.",It is known only from subfossil material; extinction likely took place in the mid-1800s.,,"This extinct snail species was endemic to La Digue island, Seychelles.",,Terrestrial,,Afrotropical,,FALSE,FALSE,Global,168112,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CERASTIDAE,Pachnodus,Pachnodus ladiguensis,"Gerlach, 2003",,,,EX,,Indian Ocean Islands,Seychelles,Habitat Loss,Habitat Loss,,SC
6453154,168116,Pachnodus curiosus,Extinct,,2009,2006-01-11 00:00:00 UTC,3.1,English,The species is known only from subfossil material; extinction probably occurred in the early 1800s as a result of fires which eliminated all forest habitats on the island the species inhabited.,It is suspected that this was probably a lowland forest species.,"Extinction was probably caused by extensive fires in the early 1800s, which destroyed all forest habitat on the island.",This snail species is known only from subfossil material.,,"A Seychelles endemic, this extinct snail species was known only from Curieuse island.",,Terrestrial,,Afrotropical,,FALSE,FALSE,Global,168116,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CERASTIDAE,Pachnodus,Pachnodus curiosus,"Gerlach, 2003",,,,EX,,Indian Ocean Islands,Seychelles,Unknown,Unknown,Yes,SC
6955940,173001,Cyclura onchiopsis,Extinct,,2011,2010-09-23 00:00:00 UTC,3.1,English,"No individuals of this iguana have been collected or observed since the middle of the 19th century, despite a number of visits to the island and its occupation during the early 20th century by a resident lighthouse keeper. Schwatrz and Carey (1977) suggested that the introduction of goats and/or cats by the lighthouse keepers might have been responsible for its extinction, but Powell (1999) indicated that exploitation by mine workers on the island during the latter half of the 19th century is a more probable explanation.","Surrounded by cliffs, the portions of Navassa Island presumably capable of supporting iguanas prior to their extinction was characterized by Ekman (1929), Proctor (1959), and paraphrased in Powell (1999). The island is a relatively flat shelf of pot-holed, karstic dolomite covered by sparse, shrubby vegetation (largely the result of 19th century mining operations) with a second, higher plateau with apparently natural savannas as well as areas cleared during the mining operations, interspersed with dense but stunted woodland dominated by four tree species: Short Leaf Fig (Ficus populnea var. brevifolia), False Mastic (Sideroxylon foetidissimum), Pigeon Plum (Coccoloba diversifolia), and Poisonwood (Metopium brownei). Although iguanas probably occurred island-wide prior to their extinction, preferred habitat almost certainly consisted of rocky areas and savannas instead of the densely forested portions of the island. Because Navassa lacks beaches, nesting presumably occurred in pockets of mineralized phosphate that accumulated in potholes. The phosphate (which was commercially extracted during the period when the iguanas presumably became extinct) might have been either of marine or terrestrial origin: precipitates of seawater during periods of submergence or from fish digested by birds and deposited as guano, respectively.Among the five specimens known for this iguana, the maximum snout-vent length is 42 cm for the largest male and 37.8 cm snout-vent length for the largest female (Powell 2000). Based on the morphology of similar species, this is probably far less than the maximum for this iguana.","Like other rock iguanas, the Navassa Rhinoceros Iguana was probably threatened by non-native predators, hunting for human consumption, and non-native competitors which destroyed the vegetation. Schwartz and Carey (1977) suggested that the introduction of goats and/or cats by the lighthouse keepers might have been responsible for its extinction, but Powell (1999) indicated that exploitation by mine workers on the island during the latter half of the 19th century was a more probable explanation.",No individuals have been collected or observed since the middle of the 19th century. The last specimen collection date was July 1878.,,"The Navassa Rhinoceros Iguana was known only from Navassa Island, West Indies, a 5.2 km² island owned by the United States. The iguana presumably occurred island-wide before its extinction.",,Terrestrial,,Neotropical,July 1878,FALSE,FALSE,Global,173001,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE,Cyclura,Cyclura onchiopsis,"Cope, 1885",,,,EX,Navassa Rhinoceros Iguana,North America,United States,Invasive Species; Overharvesting,Invasive Species,,US
7657156,180996,Platytropius siamensis,Extinct,,2011,2011-02-07 00:00:00 UTC,3.1,English,"This species has not been encountered since 1975–1977 (C. Vidthayanon, pers. comm.), despite periodic surveys undertaken within the Chao Phraya and Bang Pakong river drainages. Because of the complete absence of evidence that any individuals of this species can still be found either in the wild or as captive populations, this species is assessed as Extinct.","This species was previously found in the main channels of rivers and larger streams. It might have also been found in large swamps and marshes, although all known museum records of this species come from material collected in fluviatile systems.","This species is believed to have gone extinct as a result of damming and canalization of the Chao Phraya River (Harrison and Stiassny 1999), as well as extensive reclamation of wetlands around Bangkok and the known range of the species. In addition, the lower parts of both rivers are very highly polluted.","This species was still abundant in the Chao Phraya (and possibly Bang Pakong) River drainage in the 1920s (Smith 1945), but is now considered extinct, as no individuals have been encountered since 1975–1977 (from specimens seen from Ayutthaya; specimens at Thai Department of Fisheries (C. Vidthayanon pers. comm. 2011)) in spite of numerous surveys within the Chao Phraya River drainage and areas where this species has been historically reported. The Bang Pakong has also been extensively surveyed over the period 1990–2000 (C. Vidthayanon, pers. comm. 2011), and the species has not been recorded, nor do fishers report the species.",,"This species was known from the Chao Phraya and Bang Pakong river drainages in Thailand (Smith 1945). Although there have been numerous general fish surveys in the drainages where the species had been recorded, this species has not been encountered since 1975–1977.","This species was utilized as a food fish, most likely in artisanal fisheries.",Freshwater (=Inland waters),"None needed, as this species is considered extinct.",Indomalayan,1977,FALSE,FALSE,Global,180996,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,HORABAGRIDAE,Platytropius,Platytropius siamensis,"(Sauvage, 1883)",,,,EX,Siamese flat-barbelled catfish,Unknown,Unknown,Pollution,Pollution,Yes,TH
8281715,184497,Pseudamnicola latasteana,Extinct,,2010,2007-10-19 00:00:00 UTC,3.1,English,This species is only known from one oasis where it has not been recorded any more since the 19th century. Boeters didn't find it despite surveys in the area. It must be considered Extinct.,It inhabits small streams in the oasis of Oudref.,No information available.,No information available.,,This species is known from Oudref (Tunisia).,,Freshwater (=Inland waters),No information available.,Palearctic,19th century,FALSE,FALSE,"Global, Northern Africa & Pan-Africa",184497,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Pseudamnicola,Pseudamnicola latasteana,"Letourneux &amp; Bourguignat, 1887",,,,EX,,Unknown,Unknown,Unknown,Unknown,Yes,TN
